,text,Tweet_tokenized,sentiment
755,     fiesta hous mouth hit password,"['fiesta', 'hous', 'mouth', 'hit', 'password']",neutral
756,live version much better    my,"['live', 'version', 'much', 'better', 'my']",neutral
757,there  paus button game life ,"['there', 'paus', 'button', 'game', 'life']",neutral
758,that  black market materi right there  friend ,"['that', 'black', 'market', 'materi', 'right', 'there', 'friend']",neutral
759,get marri vega novemb elvi imperson happy   ,"['get', 'marri', 'vega', 'novemb', 'elvi', 'imperson', 'happy']",neutral
760,tri join chat site would let sign,"['tri', 'join', 'chat', 'site', 'would', 'let', 'sign']",neutral
761,home  ,['home'],neutral
762,sing song film movi best,"['sing', 'song', 'film', 'movi', 'best']",positive
763,their song make want cry  ,"['their', 'song', 'make', 'want', 'cry']",negative
764,while drive u come across aggress drive behaviour anoth driver  U should    chase car  tell driver drive,"['while', 'drive', 'u', 'come', 'across', 'aggress', 'drive', 'behaviour', 'anoth', 'driver', 'U', 'should', 'chase', 'car', 'tell', 'driver', 'drive']",neutral
765,the mediteranian kitchen   oh well can t get right ,"['the', 'mediteranian', 'kitchen', 'oh', 'well', 'can', 't', 'get', 'right']",neutral
766,what  wrong ,"['what', 'wrong']",neutral
767,wasn      total awesome  see reboot crew nice ,"['wasn', 'total', 'awesome', 'see', 'reboot', 'crew', 'nice']",neutral
768, d that good know  I bet look like you ,"['d', 'that', 'good', 'know', 'I', 'bet', 'look', 'like', 'you']",neutral
769,  hahhahah realli made laugh loudd  ahahahahahahahahah fuunny  ,"['hahhahah', 'realli', 'made', 'laugh', 'loudd', 'ahahahahahahahahah', 'fuunny']",positive
770,wish could get pregnant  ,"['wish', 'could', 'get', 'pregnant']",neutral
771,im tri fix it   doesnt  ahi dio mio  u good lol,"['im', 'tri', 'fix', 'it', 'doesnt', 'ahi', 'dio', 'mio', 'u', 'good', 'lol']",negative
772,hiya  miss too  what to ,"['hiya', 'miss', 'too', 'what', 'to']",neutral
773,play,['play'],neutral
774,realli sick,"['realli', 'sick']",neutral
775,yay  onli sundays  maid came   hous clean again   ,"['yay', 'onli', 'sundays', 'maid', 'came', 'hous', 'clean', 'again']",positive
776,thx  robban  gaming com match ,"['thx', 'robban', 'gaming', 'com', 'match']",neutral
777,thank jk    love ya death,"['thank', 'jk', 'love', 'ya', 'death']",neutral
778,go Al ain  need check one store  hope find thing i m look for ,"['go', 'Al', 'ain', 'need', 'check', 'one', 'store', 'hope', 'find', 'thing', 'i', 'm', 'look', 'for']",neutral
779,geeze  i m wonder wrong people  I either need go run go sleep  tomorrow fun day ,"['geeze', 'i', 'm', 'wonder', 'wrong', 'people', 'I', 'either', 'need', 'go', 'run', 'go', 'sleep', 'tomorrow', 'fun', 'day']",neutral
780,So parent busi make feel like      realis i v got wors need see doctor again  No sleep suck,"['So', 'parent', 'busi', 'make', 'feel', 'like', 'realis', 'i', 'v', 'got', 'wors', 'need', 'see', 'doctor', 'again', 'No', 'sleep', 'suck']",neutral
781,g night jonathan  I tri stay up  I realli did  I can t wait till ur timezone  will much easier then ,"['g', 'night', 'jonathan', 'I', 'tri', 'stay', 'up', 'I', 'realli', 'did', 'I', 'can', 't', 'wait', 'till', 'ur', 'timezone', 'will', 'much', 'easier', 'then']",neutral
782,prom rated   irritated    go bed goodnight,"['prom', 'rated', 'irritated', 'go', 'bed', 'goodnight']",positive
783,look  everyone  i m bad boy  i m rank higher meghan mccain  ,"['look', 'everyone', 'i', 'm', 'bad', 'boy', 'i', 'm', 'rank', 'higher', 'meghan', 'mccain']",neutral
784, rain wanna see hair how everyone ,"['rain', 'wanna', 'see', 'hair', 'how', 'everyone']",neutral
785,Or ftrh    for the ride home,"['Or', 'ftrh', 'for', 'the', 'ride', 'home']",neutral
786,english screw overal percentag X  xii probabl adm test too       happens ,"['english', 'screw', 'overal', 'percentag', 'X', 'xii', 'probabl', 'adm', 'test', 'too', 'happens']",neutral
787,want chine food realli baaad ,"['want', 'chine', 'food', 'realli', 'baaad']",neutral
788,download song ,"['download', 'song']",neutral
789,I almost said   and grammer exist either  grunt  but I stop,"['I', 'almost', 'said', 'and', 'grammer', 'exist', 'either', 'grunt', 'but', 'I', 'stop']",neutral
790, d you r gonna take good care littl babi he  gonna strong boy  that  sure,"['d', 'you', 'r', 'gonna', 'take', 'good', 'care', 'littl', 'babi', 'he', 'gonna', 'strong', 'boy', 'that', 'sure']",neutral
791,ha  lemm know find  tho I suspect lot complaints   have peac night friend,"['ha', 'lemm', 'know', 'find', 'tho', 'I', 'suspect', 'lot', 'complaints', 'have', 'peac', 'night', 'friend']",neutral
792,see shane dawson video,"['see', 'shane', 'dawson', 'video']",neutral
793,sad face ,"['sad', 'face']",neutral
794,aaaaahhhh     friday     but        funer ,"['aaaaahhhh', 'friday', 'but', 'funer']",neutral
795,alreadi miss,"['alreadi', 'miss']",neutral
796, laura lp ok thank help  I hope respond sooner later  then  thanks ,"['laura', 'lp', 'ok', 'thank', 'help', 'I', 'hope', 'respond', 'sooner', 'later', 'then', 'thanks']",neutral
797,commish day atl fam  just saw updat  net website    look awesome ,"['commish', 'day', 'atl', 'fam', 'just', 'saw', 'updat', 'net', 'website', 'look', 'awesome']",neutral
798,awww suck also  finish uni  total mini housewarming  yes  work around schedule  lol ,"['awww', 'suck', 'also', 'finish', 'uni', 'total', 'mini', 'housewarming', 'yes', 'work', 'around', 'schedule', 'lol']",negative
799,famou dave  mom  hungry ,"['famou', 'dave', 'mom', 'hungry']",neutral
800,I would vote miley I live ireland you ll fine good luck  sl      n  bye irish   sorcha xxxx,"['I', 'would', 'vote', 'miley', 'I', 'live', 'ireland', 'you', 'll', 'fine', 'good', 'luck', 'sl', 'n', 'bye', 'irish', 'sorcha', 'xxxx']",negative
801,home nite  sleep pull bed maggie  wish  durden I got find apt,"['home', 'nite', 'sleep', 'pull', 'bed', 'maggie', 'wish', 'durden', 'I', 'got', 'find', 'apt']",neutral
802,oh  summ begins  yay   the fighting  cri stress start kids  it   hr sinc got out ,"['oh', 'summ', 'begins', 'yay', 'the', 'fighting', 'cri', 'stress', 'start', 'kids', 'it', 'hr', 'sinc', 'got', 'out']",neutral
803,I feel deflated  No doggy ,"['I', 'feel', 'deflated', 'No', 'doggy']",neutral
804,sad young love come end they sooo cute together ,"['sad', 'young', 'love', 'come', 'end', 'they', 'sooo', 'cute', 'together']",neutral
805,omg really   I sowwy  i ll again    p I tire I morning    p lol ,"['omg', 'really', 'I', 'sowwy', 'i', 'll', 'again', 'p', 'I', 'tire', 'I', 'morning', 'p', 'lol']",neutral
806,owww  back pain hm  walmart no  could get cupcakes ,"['owww', 'back', 'pain', 'hm', 'walmart', 'no', 'could', 'get', 'cupcakes']",neutral
807,can t believ guy gonna stay one day rio de janeiro,"['can', 't', 'believ', 'guy', 'gonna', 'stay', 'one', 'day', 'rio', 'de', 'janeiro']",neutral
808,make boyfriend look different  he  cute matter what   ,"['make', 'boyfriend', 'look', 'different', 'he', 'cute', 'matter', 'what']",neutral
809,lol thx,"['lol', 'thx']",negative
810,work  tonight ,"['work', 'tonight']",neutral
811,well go peac corp prospects ,"['well', 'go', 'peac', 'corp', 'prospects']",neutral
812,rmbr time torn night sentosa  I one didnt spit    unknown facts  abt,"['rmbr', 'time', 'torn', 'night', 'sentosa', 'I', 'one', 'didnt', 'spit', 'unknown', 'facts', 'abt']",neutral
813,good idea  i ll remov old receipts  tissu paper nonsens I take pic,"['good', 'idea', 'i', 'll', 'remov', 'old', 'receipts', 'tissu', 'paper', 'nonsens', 'I', 'take', 'pic']",neutral
814,whatev be ,"['whatev', 'be']",neutral
815,wango tango    good night,"['wango', 'tango', 'good', 'night']",neutral
816,i m best financi situat moment  i m beyond broke  money spend soon earn atm,"['i', 'm', 'best', 'financi', 'situat', 'moment', 'i', 'm', 'beyond', 'broke', 'money', 'spend', 'soon', 'earn', 'atm']",positive
817,hello you  total go biggest shop center europ go shop togeth     ,"['hello', 'you', 'total', 'go', 'biggest', 'shop', 'center', 'europ', 'go', 'shop', 'togeth']",negative
818,fix openbox theme littl,"['fix', 'openbox', 'theme', 'littl']",neutral
819,sell laptop cheap anyone  interested    toshiba  gig ram,"['sell', 'laptop', 'cheap', 'anyone', 'interested', 'toshiba', 'gig', 'ram']",positive
820,If recent experi anyth go by  I fear I might go indian food  thi good  people  not good,"['If', 'recent', 'experi', 'anyth', 'go', 'by', 'I', 'fear', 'I', 'might', 'go', 'indian', 'food', 'thi', 'good', 'people', 'not', 'good']",neutral
821,wish wasn t bum kinda,"['wish', 'wasn', 't', 'bum', 'kinda']",neutral
822,hey mitchel live again  I didn t get chanc call,"['hey', 'mitchel', 'live', 'again', 'I', 'didn', 't', 'get', 'chanc', 'call']",neutral
823,look sunshin offic window,"['look', 'sunshin', 'offic', 'window']",neutral
824,back sore    done jump last night,"['back', 'sore', 'done', 'jump', 'last', 'night']",neutral
825,We work,"['We', 'work']",neutral
826, bride la mode  pow wow first thing morn thi past weekend  love wed fresh mind    pic soon ,"['bride', 'la', 'mode', 'pow', 'wow', 'first', 'thing', 'morn', 'thi', 'past', 'weekend', 'love', 'wed', 'fresh', 'mind', 'pic', 'soon']",neutral
827,just got paycheck    april bonu b deposit day rest  gotta wait til mon ,"['just', 'got', 'paycheck', 'april', 'bonu', 'b', 'deposit', 'day', 'rest', 'gotta', 'wait', 'til', 'mon']",neutral
828,nope way stop put wiv,"['nope', 'way', 'stop', 'put', 'wiv']",negative
829,I recommend return broken duck toy battei came person give may get mad   trust me ,"['I', 'recommend', 'return', 'broken', 'duck', 'toy', 'battei', 'came', 'person', 'give', 'may', 'get', 'mad', 'trust', 'me']",neutral
830,not much substitut variation  ate much  too  oof,"['not', 'much', 'substitut', 'variation', 'ate', 'much', 'too', 'oof']",neutral
831,beauti weather    whi u sick  babi     tanapoli,"['beauti', 'weather', 'whi', 'u', 'sick', 'babi', 'tanapoli']",negative
832,oui mademoiselle  you bare turn around day without bump one ,"['oui', 'mademoiselle', 'you', 'bare', 'turn', 'around', 'day', 'without', 'bump', 'one']",neutral
833,flickr pic chester zoo  danwtmoon post photo   welcome  chester zoo jockey ,"['flickr', 'pic', 'chester', 'zoo', 'danwtmoon', 'post', 'photo', 'welcome', 'chester', 'zoo', 'jockey']",neutral
834,woke watch jon kate plu eight  I tri pretend like still normail famili,"['woke', 'watch', 'jon', 'kate', 'plu', 'eight', 'I', 'tri', 'pretend', 'like', 'still', 'normail', 'famili']",negative
835,your  freak,"['your', 'freak']",neutral
836,dont even know lenaaa go cloth show ,"['dont', 'even', 'know', 'lenaaa', 'go', 'cloth', 'show']",neutral
837, jane yay  buti nagustuhan nyo  isang bar lang enclos ko sa mail  test matutunaw hindi  next time uli ,"['jane', 'yay', 'buti', 'nagustuhan', 'nyo', 'isang', 'bar', 'lang', 'enclos', 'ko', 'sa', 'mail', 'test', 'matutunaw', 'hindi', 'next', 'time', 'uli']",neutral
838,memori,['memori'],neutral
839,yep  noth worri about ,"['yep', 'noth', 'worri', 'about']",neutral
840,back work tomorrow whose idea go back saturday    Oh wait    would mine  fail ,"['back', 'work', 'tomorrow', 'whose', 'idea', 'go', 'back', 'saturday', 'Oh', 'wait', 'would', 'mine', 'fail']",neutral
841,go start small  like       then slowli higher stake,"['go', 'start', 'small', 'like', 'then', 'slowli', 'higher', 'stake']",neutral
842,make videoblog ,"['make', 'videoblog']",neutral
843,read evermor lynn viehl ,"['read', 'evermor', 'lynn', 'viehl']",neutral
844,wow storm had    now power,"['wow', 'storm', 'had', 'now', 'power']",neutral
845,get phone back week yeeeewww,"['get', 'phone', 'back', 'week', 'yeeeewww']",neutral
846,back school daili show amaz gonna watch later think xD,"['back', 'school', 'daili', 'show', 'amaz', 'gonna', 'watch', 'later', 'think', 'xD']",positive
847, breez yer plea do  have good day ,"['breez', 'yer', 'plea', 'do', 'have', 'good', 'day']",neutral
848, musicmonday epic song   y     light sounds  yellowcard   ,"['musicmonday', 'epic', 'song', 'y', 'light', 'sounds', 'yellowcard']",negative
849,hot cuppa coffe made milk   fortifi monin  irish coffe syrup  bliss ,"['hot', 'cuppa', 'coffe', 'made', 'milk', 'fortifi', 'monin', 'irish', 'coffe', 'syrup', 'bliss']",positive
850,right im peeps   hope fix twitter mobil tweet race   m twitter  day  fail,"['right', 'im', 'peeps', 'hope', 'fix', 'twitter', 'mobil', 'tweet', 'race', 'm', 'twitter', 'day', 'fail']",neutral
851,My anticip meet tapan parikh appar wont pas nairobi  head straight mombasa,"['My', 'anticip', 'meet', 'tapan', 'parikh', 'appar', 'wont', 'pas', 'nairobi', 'head', 'straight', 'mombasa']",positive
852,watch armi wive alway make cri,"['watch', 'armi', 'wive', 'alway', 'make', 'cri']",neutral
853,product day ,"['product', 'day']",neutral
854,rest In peac adam    glenn epps     gone never forgotten    week    loud da air  ya,"['rest', 'In', 'peac', 'adam', 'glenn', 'epps', 'gone', 'never', 'forgotten', 'week', 'loud', 'da', 'air', 'ya']",neutral
855,gotta love summer,"['gotta', 'love', 'summer']",neutral
856,mark go ok far a  b  far   reliev look like I futur programm class,"['mark', 'go', 'ok', 'far', 'a', 'b', 'far', 'reliev', 'look', 'like', 'I', 'futur', 'programm', 'class']",neutral
857,ala no  it  normal night monday quiz night,"['ala', 'no', 'it', 'normal', 'night', 'monday', 'quiz', 'night']",negative
858,did anyon go photograph today  I manag get macro shot flower bloom,"['did', 'anyon', 'go', 'photograph', 'today', 'I', 'manag', 'get', 'macro', 'shot', 'flower', 'bloom']",neutral
859, buckley good morn sunni london   sound like oxymoron happen true today hurrah ,"['buckley', 'good', 'morn', 'sunni', 'london', 'sound', 'like', 'oxymoron', 'happen', 'true', 'today', 'hurrah']",neutral
860,cool  that d fantastic ,"['cool', 'that', 'd', 'fantastic']",neutral
861,live stickam com itstyleryo come chat ,"['live', 'stickam', 'com', 'itstyleryo', 'come', 'chat']",neutral
862,but right  thi like cape breton coal mine     No lesson learned ,"['but', 'right', 'thi', 'like', 'cape', 'breton', 'coal', 'mine', 'No', 'lesson', 'learned']",neutral
863,yes  i m quit rusty  i m hope get back  tune up  skills  tim play guitar  We threaten duets ,"['yes', 'i', 'm', 'quit', 'rusty', 'i', 'm', 'hope', 'get', 'back', 'tune', 'up', 'skills', 'tim', 'play', 'guitar', 'We', 'threaten', 'duets']",neutral
864,hey everybody  hah day cool  got back walk dog    omgosh  send link please ,"['hey', 'everybody', 'hah', 'day', 'cool', 'got', 'back', 'walk', 'dog', 'omgosh', 'send', 'link', 'please']",neutral
865,srri im interest right now    stay til am caus tummi hurt im poop work,"['srri', 'im', 'interest', 'right', 'now', 'stay', 'til', 'am', 'caus', 'tummi', 'hurt', 'im', 'poop', 'work']",neutral
866,I might enough money college   ,"['I', 'might', 'enough', 'money', 'college']",neutral
867,lol  woow okay big deal,"['lol', 'woow', 'okay', 'big', 'deal']",negative
868,I love I leav laptop bed creat nice toasti spot,"['I', 'love', 'I', 'leav', 'laptop', 'bed', 'creat', 'nice', 'toasti', 'spot']",positive
869,I mean someon hit dog car  It lay,"['I', 'mean', 'someon', 'hit', 'dog', 'car', 'It', 'lay']",negative
870,doe start tomorrow  I go book sam forgot,"['doe', 'start', 'tomorrow', 'I', 'go', 'book', 'sam', 'forgot']",neutral
871,salt vinegar  chees onion make breath smell lol     ,"['salt', 'vinegar', 'chees', 'onion', 'make', 'breath', 'smell', 'lol']",neutral
872,you r welcome  there  I ad already ,"['you', 'r', 'welcome', 'there', 'I', 'ad', 'already']",negative
873, rose mornin    miss danc time  I guess I danc extra hard tomorrow   ,"['rose', 'mornin', 'miss', 'danc', 'time', 'I', 'guess', 'I', 'danc', 'extra', 'hard', 'tomorrow']",neutral
874,sorri hear dude probs  that  much ,"['sorri', 'hear', 'dude', 'probs', 'that', 'much']",neutral
875,discov numpi array hold valu type  use manipul array number uncertainties ,"['discov', 'numpi', 'array', 'hold', 'valu', 'type', 'use', 'manipul', 'array', 'number', 'uncertainties']",neutral
876,mayb take drink again  feel  massiv hangov still  yself today,"['mayb', 'take', 'drink', 'again', 'feel', 'massiv', 'hangov', 'still', 'yself', 'today']",neutral
877,download tweet deck    look savi,"['download', 'tweet', 'deck', 'look', 'savi']",neutral
878,today friday  I realli hope read messag repli soon  I could reach phone go work ,"['today', 'friday', 'I', 'realli', 'hope', 'read', 'messag', 'repli', 'soon', 'I', 'could', 'reach', 'phone', 'go', 'work']",neutral
879,whatev know like it  hahahhah ,"['whatev', 'know', 'like', 'it', 'hahahhah']",neutral
880,oh no  fun weekend friend gone  mother made famili weekend it      ,"['oh', 'no', 'fun', 'weekend', 'friend', 'gone', 'mother', 'made', 'famili', 'weekend', 'it']",positive
881,good morn twitterland  happi monday,"['good', 'morn', 'twitterland', 'happi', 'monday']",neutral
882,write reports    ,"['write', 'reports']",negative
883,thank timmy  turn strep high fever ,"['thank', 'timmy', 'turn', 'strep', 'high', 'fever']",neutral
884,oh  nice   I someth nice next week   go madrid next weekend day,"['oh', 'nice', 'I', 'someth', 'nice', 'next', 'week', 'go', 'madrid', 'next', 'weekend', 'day']",neutral
885,keep chilled ,"['keep', 'chilled']",neutral
886,beauti day got first class,"['beauti', 'day', 'got', 'first', 'class']",neutral
887,fabulous  and I didn t get pic gmail act fool sometimes  can u DM it ,"['fabulous', 'and', 'I', 'didn', 't', 'get', 'pic', 'gmail', 'act', 'fool', 'sometimes', 'can', 'u', 'DM', 'it']",neutral
888,yeah  it  terribl cockatoo hardest live with  emotional  good thing found you  though  ,"['yeah', 'it', 'terribl', 'cockatoo', 'hardest', 'live', 'with', 'emotional', 'good', 'thing', 'found', 'you', 'though']",neutral
889,  sucks ,['sucks'],neutral
890,ye,['ye'],neutral
891, datti thank sankar ur wish,"['datti', 'thank', 'sankar', 'ur', 'wish']",negative
892,I love wake think it  weekday  realiz it  weekend ,"['I', 'love', 'wake', 'think', 'it', 'weekday', 'realiz', 'it', 'weekend']",neutral
893,sorri bout cat ,"['sorri', 'bout', 'cat']",neutral
894,you r person join  penileword,"['you', 'r', 'person', 'join', 'penileword']",neutral
895,Up wash i m cloth I type xD woooo,"['Up', 'wash', 'i', 'm', 'cloth', 'I', 'type', 'xD', 'woooo']",positive
896,miss u too  i m still club   u know   west coast      ,"['miss', 'u', 'too', 'i', 'm', 'still', 'club', 'u', 'know', 'west', 'coast']",neutral
897,love love love pot psycology  My friday night treat,"['love', 'love', 'love', 'pot', 'psycology', 'My', 'friday', 'night', 'treat']",neutral
898,happi star war day may fourth you ,"['happi', 'star', 'war', 'day', 'may', 'fourth', 'you']",neutral
899,play lighter fire match grass,"['play', 'lighter', 'fire', 'match', 'grass']",neutral
900, art that would one  it  awesom sauce ,"['art', 'that', 'would', 'one', 'it', 'awesom', 'sauce']",neutral
901,bucky  ferret offici insulinoma now daili prednisone  had interview p doc today  go back monday testing ,"['bucky', 'ferret', 'offici', 'insulinoma', 'now', 'daili', 'prednisone', 'had', 'interview', 'p', 'doc', 'today', 'go', 'back', 'monday', 'testing']",negative
902,i v never prague  money  it ll  first citi I visit,"['i', 'v', 'never', 'prague', 'money', 'it', 'll', 'first', 'citi', 'I', 'visit']",neutral
903,coffe time,"['coffe', 'time']",positive
904,He creepi first  I realli grow like him  I cri like babi tosh died ,"['He', 'creepi', 'first', 'I', 'realli', 'grow', 'like', 'him', 'I', 'cri', 'like', 'babi', 'tosh', 'died']",neutral
905,  really   son       screw him  ill talk msn later k xox,"['really', 'son', 'screw', 'him', 'ill', 'talk', 'msn', 'later', 'k', 'xox']",neutral
906,We didn t   but wait good twenti minut one  good night  though ,"['We', 'didn', 't', 'but', 'wait', 'good', 'twenti', 'minut', 'one', 'good', 'night', 'though']",neutral
907,I alway hope die see old one make sad,"['I', 'alway', 'hope', 'die', 'see', 'old', 'one', 'make', 'sad']",neutral
908,thank alen  seem submit commun news  error  must prove,"['thank', 'alen', 'seem', 'submit', 'commun', 'news', 'error', 'must', 'prove']",neutral
909,don t follow me  you ruin twitter experi,"['don', 't', 'follow', 'me', 'you', 'ruin', 'twitter', 'experi']",neutral
910,blah car repairs    almost  dollars    shop around better deal ,"['blah', 'car', 'repairs', 'almost', 'dollars', 'shop', 'around', 'better', 'deal']",neutral
911,weetabix choco milk yum ,"['weetabix', 'choco', 'milk', 'yum']",negative
912,too ,['too'],neutral
913,i m sad lost anoth person close cancer,"['i', 'm', 'sad', 'lost', 'anoth', 'person', 'close', 'cancer']",neutral
914, me thanks  kinda bittersweet though,"['me', 'thanks', 'kinda', 'bittersweet', 'though']",neutral
915, nutbar good morn you   twittertakeov,"['nutbar', 'good', 'morn', 'you', 'twittertakeov']",neutral
916,first time twitter  ,"['first', 'time', 'twitter']",neutral
917,captain jack back,"['captain', 'jack', 'back']",neutral
918, la ben  dream make saddddddd want togetherrr  swear      get bawlinggg  help me  ,"['la', 'ben', 'dream', 'make', 'saddddddd', 'want', 'togetherrr', 'swear', 'get', 'bawlinggg', 'help', 'me']",neutral
919,internet  fast  and slow  where fast connect go ,"['internet', 'fast', 'and', 'slow', 'where', 'fast', 'connect', 'go']",negative
920, am  you ,"['am', 'you']",neutral
921, year old barbi doll still rock it   that girl h o t  ken ain t bad either  memories ,"['year', 'old', 'barbi', 'doll', 'still', 'rock', 'it', 'that', 'girl', 'h', 'o', 't', 'ken', 'ain', 't', 'bad', 'either', 'memories']",neutral
922,weather make finger numb   still wait,"['weather', 'make', 'finger', 'numb', 'still', 'wait']",neutral
923,lol yeah ima mama thanks  happi mama  day laker day  love it ,"['lol', 'yeah', 'ima', 'mama', 'thanks', 'happi', 'mama', 'day', 'laker', 'day', 'love', 'it']",neutral
924,done  it  summer   ,"['done', 'it', 'summer']",neutral
925,I geno  hr ago  would went pat neon light got lol  had drink south philli bar,"['I', 'geno', 'hr', 'ago', 'would', 'went', 'pat', 'neon', 'light', 'got', 'lol', 'had', 'drink', 'south', 'philli', 'bar']",negative
926, fri bread good gave littl pinch lettuc ha ha,"['fri', 'bread', 'good', 'gave', 'littl', 'pinch', 'lettuc', 'ha', 'ha']",neutral
927,it wow  effect thank update ,"['it', 'wow', 'effect', 'thank', 'update']",neutral
928,got  today  also miss friend,"['got', 'today', 'also', 'miss', 'friend']",neutral
929,catch reading    twitter n BF break,"['catch', 'reading', 'twitter', 'n', 'BF', 'break']",neutral
930,no  that  right   I rememb now  you fearless tweet   seen fearless ,"['no', 'that', 'right', 'I', 'rememb', 'now', 'you', 'fearless', 'tweet', 'seen', 'fearless']",negative
931,thought dwell certain person,"['thought', 'dwell', 'certain', 'person']",neutral
932,transit time over  tonight I work night shift  I woke  ,"['transit', 'time', 'over', 'tonight', 'I', 'work', 'night', 'shift', 'I', 'woke']",negative
933,gonna go work honey today     So exciting   ,"['gonna', 'go', 'work', 'honey', 'today', 'So', 'exciting']",neutral
934,  aww that bad lost though,"['aww', 'that', 'bad', 'lost', 'though']",negative
935,new privat acc  will use close twitter friend,"['new', 'privat', 'acc', 'will', 'use', 'close', 'twitter', 'friend']",neutral
936,I hate go onlin look balanc bank  alway lot lower I need be ,"['I', 'hate', 'go', 'onlin', 'look', 'balanc', 'bank', 'alway', 'lot', 'lower', 'I', 'need', 'be']",neutral
937,actually  web work fine  tweetdeck seem culprit sadness  it  done two diff  locat,"['actually', 'web', 'work', 'fine', 'tweetdeck', 'seem', 'culprit', 'sadness', 'it', 'done', 'two', 'diff', 'locat']",negative
938, x how geo isu go  I swear I wors day ever  ,"['x', 'how', 'geo', 'isu', 'go', 'I', 'swear', 'I', 'wors', 'day', 'ever']",neutral
939,and could all  empir dirt  i m a e dad i m freez fulli shiver every el warm fone allow ffs ,"['and', 'could', 'all', 'empir', 'dirt', 'i', 'm', 'a', 'e', 'dad', 'i', 'm', 'freez', 'fulli', 'shiver', 'every', 'el', 'warm', 'fone', 'allow', 'ffs']",neutral
940,tell think pride prejudic zombi       you r hype sugar,"['tell', 'think', 'pride', 'prejudic', 'zombi', 'you', 'r', 'hype', 'sugar']",neutral
941, tdh can instal ruby  gem rail keep  please ,"['tdh', 'can', 'instal', 'ruby', 'gem', 'rail', 'keep', 'please']",neutral
942,out ultim training  look forward sunset ,"['out', 'ultim', 'training', 'look', 'forward', 'sunset']",neutral
943,go work again  great day had  it  atleast get  commin wahooooooo,"['go', 'work', 'again', 'great', 'day', 'had', 'it', 'atleast', 'get', 'commin', 'wahooooooo']",neutral
944,good see back  sorri happen,"['good', 'see', 'back', 'sorri', 'happen']",neutral
945,My st mother day tomorrow,"['My', 'st', 'mother', 'day', 'tomorrow']",neutral
946, you said  darl happened  I fall asleep  carri home  cuz I know I wasn t here   goodnight twittererer,"['you', 'said', 'darl', 'happened', 'I', 'fall', 'asleep', 'carri', 'home', 'cuz', 'I', 'know', 'I', 'wasn', 't', 'here', 'goodnight', 'twittererer']",neutral
947,I clear whole offic sign next place truck  I yet fulli clean back seat lol ,"['I', 'clear', 'whole', 'offic', 'sign', 'next', 'place', 'truck', 'I', 'yet', 'fulli', 'clean', 'back', 'seat', 'lol']",neutral
948,it  gonna storm  I said so ,"['it', 'gonna', 'storm', 'I', 'said', 'so']",neutral
949,I broke ipod,"['I', 'broke', 'ipod']",neutral
950, bank  someth must wrong  onli found  juli harl sil book I want,"['bank', 'someth', 'must', 'wrong', 'onli', 'found', 'juli', 'harl', 'sil', 'book', 'I', 'want']",negative
951,haha should  state pride import,"['haha', 'should', 'state', 'pride', 'import']",neutral
952,ugh  say friend might swine flu  omg  why ,"['ugh', 'say', 'friend', 'might', 'swine', 'flu', 'omg', 'why']",neutral
953,haha problem  it  fun isn     ,"['haha', 'problem', 'it', 'fun', 'isn']",neutral
954,final got wash hair  I feel much better now  I gotta dri     effffffort ,"['final', 'got', 'wash', 'hair', 'I', 'feel', 'much', 'better', 'now', 'I', 'gotta', 'dri', 'effffffort']",neutral
955,final feel back swing thing work get marri last week  sigh relief wed planning ,"['final', 'feel', 'back', 'swing', 'thing', 'work', 'get', 'marri', 'last', 'week', 'sigh', 'relief', 'wed', 'planning']",neutral
956,suck booo ,"['suck', 'booo']",neutral
957,hate untal      mean talent friend,"['hate', 'untal', 'mean', 'talent', 'friend']",neutral
958,look like we r rain weekend climb,"['look', 'like', 'we', 'r', 'rain', 'weekend', 'climb']",neutral
959,Is googl map work anyon else ,"['Is', 'googl', 'map', 'work', 'anyon', 'else']",neutral
960,oh       ,['oh'],neutral
961,dont realli trust judgement vouch  xo jk  i ll think becom friend,"['dont', 'realli', 'trust', 'judgement', 'vouch', 'xo', 'jk', 'i', 'll', 'think', 'becom', 'friend']",neutral
962,jesu heal,"['jesu', 'heal']",neutral
963,it  surpris much billi idol turn tweets  I monitor constantli   i m ob anything   billyidol,"['it', 'surpris', 'much', 'billi', 'idol', 'turn', 'tweets', 'I', 'monitor', 'constantli', 'i', 'm', 'ob', 'anything', 'billyidol']",negative
964,werd  that  true,"['werd', 'that', 'true']",neutral
965,your birthday  well happi birthday,"['your', 'birthday', 'well', 'happi', 'birthday']",neutral
966,without wing,"['without', 'wing']",neutral
967,tweet me  thought rememb see one cant see now  SO glad teatre ok ,"['tweet', 'me', 'thought', 'rememb', 'see', 'one', 'cant', 'see', 'now', 'SO', 'glad', 'teatre', 'ok']",neutral
968,night twitterland x I five hour sigh,"['night', 'twitterland', 'x', 'I', 'five', 'hour', 'sigh']",neutral
969,happi birthday  hour  minuet haha,"['happi', 'birthday', 'hour', 'minuet', 'haha']",neutral
970,lunch break  over  go back work    ,"['lunch', 'break', 'over', 'go', 'back', 'work']",neutral
971,glad see it  typic bank holiday weather wise   I go much today   yeah right ,"['glad', 'see', 'it', 'typic', 'bank', 'holiday', 'weather', 'wise', 'I', 'go', 'much', 'today', 'yeah', 'right']",neutral
972,hayley william pretti much amazz,"['hayley', 'william', 'pretti', 'much', 'amazz']",negative
973,app said need    later,"['app', 'said', 'need', 'later']",neutral
